"customer_id_g","sessions","duration","page_view","product_view_distinct","last_active_date","last_purch_date","last_purch_to_last_active","this_purch_2_last_purch","purchase_number","search","search_bi","flag_policy_bi","flag_specials_bi","flag_a_bi","quoteback","cost1","email","store","call","other_channel","flag_sum","maincat1","esale","datecreated","grandtotal","cart","repeat_product_view_sessions","repeat_product_view_single_session","newSearch","purchase"
129,19,23,18,3,2019-04-04 16:58:00,2019-03-19 13:49:53,16.1306343981481,NA,99,8,1,1,1,0,0,2300,0,0,0,0,1,10001,NA,NA,NA,0,2,4,"New",0
152,1,4,13,2,2017-05-26 05:00:00,2013-05-12 21:13:32,1474.32392975694,NA,99,0,0,0,1,0,1,NA,0,0,0,0,1,99,NA,NA,NA,0,1,2,"Old",0
240,2,1,2,1,2018-10-30 06:11:00,2018-06-29 10:46:34,122.808632025463,NA,99,0,0,0,0,0,0,840,0,0,0,0,0,10001,NA,NA,NA,0,2,2,"Old",0
240,2,1,2,1,2018-10-30 06:11:00,2018-06-29 10:46:34,122.808632025463,NA,99,0,0,0,0,0,0,840,0,0,0,0,0,10001,NA,NA,NA,0,2,2,"Old",0
241,1,0,1,1,2018-12-25 16:56:00,2015-11-11 14:03:26,1140.11982642361,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,1,"New",0
270,2,1,2,1,2019-04-06 11:20:00,2013-11-26 13:08:58,1956.92432097222,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,2,"New",0
315,3,1,4,2,2018-11-21 21:10:00,2017-02-14 16:40:26,645.187197048611,NA,99,0,0,0,1,0,0,1580,0,0,0,0,1,10001,NA,NA,NA,0,2,3,"New",0
343,7,22,9,1,2019-03-05 16:59:00,2019-03-05 14:25:49,0.106365821759259,5.91507038194444,2,2,1,0,1,0,0,2385,0,0,0,0,1,10001,NA,2019-03-05 14:25:49,2350,0,4,3,"New",1
368,2,4,27,2,2017-02-13 05:14:00,2015-04-01 20:13:55,683.375056712963,NA,99,2,1,0,1,0,0,NA,0,0,0,0,1,99,NA,NA,NA,0,1,3,"Old",0
411,1,0,1,1,2017-11-27 12:07:00,2017-03-09 11:41:33,263.017662731481,NA,99,0,0,0,0,0,0,125,0,0,0,0,0,10001,NA,NA,NA,0,1,1,"Old",0
479,1,0,1,1,2017-06-12 13:22:00,2014-02-03 13:34:56,1224.99101543981,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,1,"Old",0
500,5,4,8,0,2017-08-18 09:15:00,2013-10-14 17:44:42,1403.64603115741,NA,99,0,0,0,1,0,0,NA,0,0,0,0,1,99,NA,NA,NA,0,0,0,"Old",0
711,8,4,11,1,2019-01-06 01:26:00,2018-02-02 12:15:47,337.548753449074,NA,99,5,1,0,0,0,0,2935,0,0,0,0,0,10001,NA,NA,NA,0,4,5,"New",0
728,2,0,1,1,2018-10-16 21:49:00,2015-05-19 17:43:58,1246.1701525,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,2,1,"Old",0
735,21,16,18,4,2019-04-07 10:58:00,2015-07-29 14:35:52,1347.84869877315,NA,99,12,1,0,1,0,0,NA,0,0,0,0,1,99,NA,NA,NA,0,4,2,"New",0
972,3,2,5,1,2017-06-08 15:15:00,2014-05-15 23:59:42,1119.63561351852,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,3,"Old",0
982,3,10,10,1,2018-05-09 01:00:00,2013-03-26 14:32:25,1869.43581523148,NA,99,0,0,0,1,1,0,NA,0,0,0,0,1,99,NA,NA,NA,0,1,4,"Old",0
1135,3,4,13,1,2019-03-19 01:05:00,2018-02-06 12:07:48,405.539721851852,NA,99,7,1,0,1,0,0,4390,0,0,0,0,1,10001,NA,NA,NA,0,2,3,"New",0
1135,3,4,13,1,2019-03-19 01:05:00,2018-02-06 12:07:48,405.539721851852,NA,99,7,1,0,1,0,0,4390,0,0,0,0,1,10001,NA,NA,NA,0,2,3,"New",0
1135,3,4,13,1,2019-03-19 01:05:00,2018-02-06 12:07:48,405.539721851852,NA,99,7,1,0,1,0,0,4390,0,0,0,0,1,10001,NA,NA,NA,0,2,3,"New",0
1135,3,4,13,1,2019-03-19 01:05:00,2018-02-06 12:07:48,405.539721851852,NA,99,7,1,0,1,0,0,4390,0,0,0,0,1,10001,NA,NA,NA,0,2,3,"New",0
1135,3,4,13,1,2019-03-19 01:05:00,2018-02-06 12:07:48,405.539721851852,NA,99,7,1,0,1,0,0,4390,0,0,0,0,1,10001,NA,NA,NA,0,2,3,"New",0
1261,2,1,2,1,2019-02-28 13:34:00,2018-06-25 00:00:46,248.564734212963,NA,99,0,0,0,0,0,0,3400,0,0,0,0,0,10002,NA,NA,NA,0,5,3,"New",0
1322,1,0,1,1,2017-02-21 17:42:00,2012-07-09 13:18:37,1688.18289516204,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,1,"Old",0
1407,1,1,4,1,2017-07-02 21:01:00,2013-06-26 23:41:43,1466.88838628472,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,2,"Old",0
1573,1,1,4,1,2019-03-23 14:50:00,2014-06-11 12:15:10,1746.10751978009,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,2,"New",0
1590,1,0,1,1,2019-02-10 08:55:00,2016-06-16 15:19:07,968.733243773148,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,1,"New",0
1782,4,7,5,2,2019-04-05 10:59:00,2013-08-15 14:59:45,2058.83280813657,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,2,3,"New",0
2047,2,0,1,1,2019-02-09 11:33:00,2017-03-27 16:00:37,683.814148171296,722.109202002315,2,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,2017-02-14 14:58:38,2000,0,1,2,"New",1
2254,1,0,1,1,2017-06-22 21:26:00,2017-02-15 00:30:00,127.872211585648,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,3,2,"Old",0
2364,5,23,7,1,2019-02-09 19:51:00,2018-04-16 16:31:50,299.138304976852,NA,99,1,1,0,1,0,1,2925,0,0,0,0,1,10001,NA,NA,NA,0,3,2,"New",0
2567,1,1,2,1,2018-09-15 18:02:00,2018-07-17 11:05:59,60.2888906944444,NA,99,0,0,0,0,0,0,999,0,0,0,0,0,10001,NA,NA,NA,0,1,2,"Old",0
2621,3,5,7,4,2018-11-11 19:52:00,2012-10-17 19:16:21,2216.024753125,NA,99,0,0,0,0,1,0,NA,0,0,0,0,1,99,NA,NA,NA,0,1,2,"New",0
2695,1,0,1,1,2018-06-17 18:31:00,2019-03-21 17:58:59,-276.977769861111,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,1,"Old",0
2750,5,4,10,1,2019-04-07 15:52:00,2019-01-18 16:33:17,78.9713251967593,NA,99,7,1,0,0,1,0,1400,0,0,0,0,1,10001,NA,NA,NA,0,1,2,"New",0
2751,1,3,2,1,2018-07-15 21:35:00,2014-10-14 12:23:16,1370.38313997685,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,2,"Old",0
2831,1,5,6,4,2018-10-22 14:52:00,2015-03-03 11:46:49,1329.12859813657,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,2,"Old",0
3062,4,29,17,1,2019-01-17 12:03:00,2019-01-15 13:48:48,1.92652162037037,NA,99,0,0,0,0,0,0,1550,0,0,0,0,0,10002,NA,NA,NA,0,1,4,"New",0
3505,1,1,2,2,2019-03-13 16:02:00,2017-11-25 14:58:58,473.043769479167,NA,99,0,0,0,0,0,0,1300,0,0,0,0,0,38,NA,NA,NA,0,4,4,"New",0
3666,1,6,13,1,2017-09-22 18:42:00,2017-09-22 18:40:42,0.000901226851851852,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,1,1,5,"Old",0
3677,3,0,1,1,2018-02-08 14:45:00,2013-10-03 12:26:41,1589.09604711806,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,2,1,"Old",0
3871,4,30,37,7,2019-03-13 00:01:00,2017-12-29 13:33:03,438.436075972222,NA,99,1,1,0,1,0,0,1300,0,0,0,0,1,10001,NA,NA,NA,0,1,3,"New",0
3999,1,0,2,1,2017-01-09 13:56:00,2015-07-07 01:16:18,552.527563055556,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,1,"Old",0
4333,2,14,9,1,2018-10-24 07:56:00,2018-10-24 07:56:16,-0.00019087962962963,NA,99,1,1,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,1,2,2,"Old",0
4372,1,0,1,1,2017-06-14 13:12:00,2014-05-12 11:37:47,1129.06542283565,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,1,"Old",0
4407,1,6,7,0,2017-10-16 14:46:00,2016-07-27 18:23:45,445.848779849537,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,0,0,"Old",0
4455,1,3,10,3,2017-04-10 06:07:00,2016-02-08 12:00:49,426.754282789352,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,2,"Old",0
4485,2,2,11,1,2019-03-23 11:03:00,2014-10-02 15:35:43,1632.81060599537,NA,99,0,0,0,1,0,0,NA,0,0,0,0,1,99,NA,NA,NA,0,1,1,"New",0
4507,2,0,3,1,2018-10-30 11:56:00,2017-05-18 18:09:22,529.740712592593,1024.19366403935,2,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,2017-05-18 18:09:22,2800,0,1,1,"Old",1
5595,3,1,3,2,2019-03-22 01:18:00,2016-08-27 14:15:01,936.460400914352,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,2,"New",0
5603,2,0,1,1,2018-03-20 18:12:00,2016-08-01 17:23:00,596.034022581018,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,2,1,"Old",0
5685,1,2,8,1,2019-03-14 23:08:00,2016-10-13 13:00:01,882.422207395833,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,1,1,"New",0
5981,2,1,4,1,2019-04-08 12:11:00,2018-08-13 12:45:52,237.975785069444,NA,99,1,1,0,0,0,0,2520,0,0,0,0,0,10001,NA,NA,NA,0,3,3,"New",0
6036,1,22,19,1,2018-02-26 03:20:00,2012-10-26 11:16:47,1948.66889142361,NA,99,1,1,1,1,0,0,NA,0,0,0,0,1,99,NA,NA,NA,0,1,2,"Old",0
6052,1,1,2,1,2019-03-06 17:53:00,2017-10-30 12:38:05,492.218683229167,NA,99,0,0,0,0,0,0,2999,0,0,0,0,0,10001,NA,NA,NA,0,1,4,"New",0
6112,3,1,3,1,2017-07-18 14:24:00,2015-03-25 13:21:18,846.043534594907,NA,99,0,0,0,0,0,0,NA,0,0,0,0,0,99,NA,NA,NA,0,2,2,"Old",0
